,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudy,Wind Speed
292,Cherskiy,RU,1595033452,68.75,161.3,61.61,55,100,7.96
293,Senanga,ZM,1595033648,-16.12,23.27,45.64,58,0,6.08
294,Hervey Bay,AU,1595033209,-25.3,152.85,66.99,58,2,8.99
295,Dingle,PH,1595033383,11.0,122.67,84.18,75,100,8.05
296,Port Alfred,ZA,1595033439,-33.59,26.89,63.21,28,0,12.06
297,Lukulu,ZM,1595033649,-14.37,23.24,44.44,66,0,5.88
298,Yuancheng,CN,1595033649,36.65,107.79,63.79,70,100,25.1
299,Willowmore,ZA,1595033649,-33.29,23.49,44.2,49,0,5.39
300,Phan Thiet,VN,1595033649,10.93,108.1,81.95,80,32,3.91
301,The Valley,AI,1595033428,18.22,-63.06,82.99,69,20,9.17
302,Goundam,ML,1595033650,16.41,-3.67,93.45,38,19,7.2
303,Alofi,NU,1595033512,-19.06,-169.92,80.6,69,3,11.41
304,Cabo San Lucas,MX,1595033283,22.89,-109.91,89.6,61,5,14.99
305,Narasannapeta,IN,1595033589,18.42,84.05,82.08,83,100,4.9
306,Dwārka,IN,1595033650,22.24,68.97,83.43,86,0,9.57
307,Juneau,US,1595033488,58.3,-134.42,60.8,67,90,21.92
308,Jablah,SY,1595033650,35.36,35.93,69.8,77,40,6.93
309,Calbuco,CL,1595033650,-41.77,-73.13,50.0,87,75,14.99
310,Longyearbyen,SJ,1595033440,78.22,15.64,48.2,70,40,11.41
311,Donghai,CN,1595033651,22.95,115.64,87.49,70,100,10.76
312,Sorong,ID,1595033651,-0.88,131.25,81.46,78,0,6.49
313,Pápa,HU,1595033651,47.33,17.47,55.4,87,20,9.17
314,Huarmey,PE,1595033386,-10.07,-78.15,59.88,84,4,9.1
315,Francistown,BW,1595033652,-21.17,27.51,41.63,76,0,7.02
316,La Romana,DO,1595033652,18.43,-68.97,78.8,88,75,8.55
317,Kavaratti,IN,1595033278,10.57,72.64,83.14,79,100,17.87
318,Chifeng,CN,1595033652,42.27,118.96,68.67,78,100,9.31
319,Waseca,US,1595033652,44.08,-93.51,82.99,78,75,12.75
320,Gusino,RU,1595033652,54.72,31.37,51.51,86,48,3.78
321,Kimbe,PG,1595033652,-5.55,150.14,81.45,82,96,3.8
322,Limeira,BR,1595033653,-22.56,-47.4,68.0,68,0,9.17
323,Korla,CN,1595033653,41.76,86.15,81.0,65,53,6.91
324,Aksarka,RU,1595033502,66.56,67.8,52.47,91,100,11.83
325,Gadsden,US,1595033380,34.01,-86.01,89.6,59,1,3.36
326,Gariāband,IN,1595033653,20.64,82.06,76.53,83,31,3.87
327,São João da Barra,BR,1595033653,-21.64,-41.05,69.78,77,0,11.01
328,Puerto Baquerizo Moreno,EC,1595033653,-0.9,-89.6,67.46,92,5,9.69
329,Thunder Bay,CA,1595033378,48.4,-89.32,78.8,47,75,11.41
330,Conakry,GN,1595033654,9.54,-13.68,78.67,80,86,12.08
331,Gaoual,GN,1595033654,11.75,-13.2,72.01,92,100,2.77
332,Swift Current,CA,1595033654,50.28,-107.8,73.4,56,1,6.93
333,Kupang,ID,1595033654,-10.17,123.58,84.2,62,20,18.34
334,Kalach-na-Donu,RU,1595033654,48.69,43.53,71.6,43,40,11.18
335,Chernyshevskiy,RU,1595033517,63.01,112.47,56.93,75,91,8.52
336,Marshfield,US,1595033643,44.67,-90.17,82.4,61,1,12.75
337,Maniitsoq,GL,1595033281,65.42,-52.9,53.02,68,21,5.1
338,Laguna,US,1595033445,38.42,-121.42,89.6,29,1,9.17
339,Lircay,PE,1595033655,-12.99,-74.72,47.32,66,0,2.82
340,Santa Vitória do Palmar,BR,1595033524,-33.52,-53.37,57.34,94,77,10.09
341,At-Bashi,KG,1595033655,41.17,75.81,59.72,61,46,0.36
342,Kartārpur,IN,1595033655,31.44,75.5,87.48,61,1,6.15
343,Mehtar Lām,AF,1595033655,34.67,70.21,80.6,65,75,6.93
344,Petropavl,KZ,1595033656,54.88,69.16,66.2,88,92,6.71
345,Kailua,US,1595033656,21.4,-157.74,89.6,74,75,11.41
346,Pisco,PE,1595033499,-13.7,-76.22,60.8,82,0,13.87
347,Sabha,LY,1595033656,27.04,14.43,85.42,28,0,12.3
348,Tuatapere,NZ,1595033448,-46.13,167.68,39.0,83,0,3.0
349,San Policarpo,PH,1595033657,12.18,125.51,84.09,75,100,9.84
350,Sørland,NO,1595033438,67.67,12.69,54.91,82,16,22.24
351,Hurghada,EG,1595033657,27.26,33.81,86.0,37,0,19.46
352,Gravdal,NO,1595033657,68.12,13.5,54.39,83,66,17.65
353,Iporá,BR,1595033657,-16.44,-51.12,68.07,44,0,4.27
354,Ambovombe,MG,1595033657,-25.17,46.08,64.62,72,71,9.37
355,Ust-Nera,RU,1595033657,64.57,143.2,67.06,35,100,4.99
356,Dengzhou,CN,1595033658,37.81,120.75,72.48,63,92,12.37
357,Dunedin,NZ,1595033327,-45.87,170.5,46.99,75,97,27.0
358,Sakakah,SA,1595033374,29.97,40.21,84.2,12,0,3.36
359,Darnah,LY,1595033658,32.77,22.64,74.43,83,0,15.7
360,Karratha,AU,1595033511,-20.74,116.85,72.82,61,100,2.86
361,Teahupoo,PF,1595033658,-17.83,-149.27,73.4,94,75,5.82
362,Kontagora,NG,1595033517,10.4,5.47,71.91,94,100,4.43
363,Neturhāt,IN,1595033659,23.48,84.27,72.0,94,100,3.65
364,Cao Bang,VN,1595033659,22.67,106.25,79.86,87,99,4.09
365,Tupik,RU,1595033659,54.43,119.93,68.18,65,35,1.77
366,Les Cayes,HT,1595033659,18.2,-73.75,79.79,79,98,3.56
367,Chapada dos Guimarães,BR,1595033408,-15.46,-55.75,82.4,26,0,3.36
368,Kaitangata,NZ,1595033260,-46.28,169.85,42.01,71,0,1.99
369,Likasi,CD,1595033660,-10.98,26.73,43.03,84,0,5.19
370,Zhigalovo,RU,1595033660,54.81,105.16,57.6,71,73,4.92
371,Vila Velha,BR,1595033244,-20.33,-40.29,71.01,83,75,3.78
372,Maltahöhe,NA,1595033660,-24.83,16.98,42.55,54,0,8.97
373,Half Moon Bay,US,1595033499,37.46,-122.43,79.0,82,90,11.41
374,Puerto Colombia,CO,1595033660,10.99,-74.95,82.4,83,52,6.93
375,Fukuechō,JP,1595033661,32.69,128.84,75.2,88,75,5.82
376,Mabaruma,GY,1595033661,8.2,-59.78,75.45,92,100,2.82
377,Carutapera,BR,1595033532,-1.2,-46.02,74.64,91,0,3.65
378,Simbach,DE,1595033661,48.57,12.75,54.0,94,0,2.19
379,Quatre Cocos,MU,1595033324,-20.21,57.76,69.8,68,75,13.87
380,Inyonga,TZ,1595033662,-6.72,32.07,51.13,73,0,6.04
381,Sumter,US,1595033662,28.71,-82.08,84.0,78,2,1.01
382,Arlit,NE,1595033662,18.74,7.39,83.82,55,0,14.45
383,Tsalka,GE,1595033662,41.59,44.09,55.85,78,0,3.0
384,Zakopane,PL,1595033453,49.3,19.95,53.6,93,75,2.24
385,Port Elizabeth,ZA,1595033261,-33.92,25.57,44.6,52,0,3.36
386,Vardø,NO,1595033256,70.37,31.11,55.4,82,100,18.34
387,Anadyr,RU,1595033663,64.75,177.48,57.2,76,84,15.66
388,Skjervøy,NO,1595033663,70.03,20.97,52.02,91,100,4.88
389,Rochegda,RU,1595033663,62.8,43.25,52.05,97,52,6.17
390,Longonjo,AO,1595033663,-12.91,15.25,48.27,52,0,5.66
391,Alta Floresta,BR,1595033663,-9.88,-56.09,77.47,45,0,3.0
392,Robertsport,LR,1595033664,6.75,-11.37,77.18,80,100,10.94
393,Mollendo,PE,1595033664,-17.02,-72.01,58.55,79,77,4.5
394,San Lorenzo,PY,1595033664,-25.33,-57.53,77.0,57,0,5.82
395,Luau,AO,1595033664,-10.71,22.22,54.03,53,0,6.46
396,Coquimbo,CL,1595033457,-29.95,-71.34,51.8,87,90,4.7
397,Talaya,RU,1595033664,61.38,152.75,51.82,84,100,11.59
398,Sioux Lookout,CA,1595033551,50.1,-91.92,77.0,53,90,4.7
399,Ugoofaaru,MV,1595033665,5.67,73.0,83.07,77,100,21.59
400,San Miguel de Tucumán,AR,1595033665,-26.82,-65.22,57.2,67,1,5.82
401,Petropavlovsk-Kamchatskiy,RU,1595033233,53.05,158.65,71.6,64,66,6.71
402,Tarabuco,BO,1595033665,-19.17,-64.92,48.06,63,0,3.65
403,Hambantota,LK,1595033665,6.12,81.12,78.8,94,20,4.7
404,Buala,SB,1595033253,-8.14,159.59,84.51,71,100,10.13
405,Chenghai,CN,1595033666,23.46,116.77,87.8,74,20,2.24
406,Lianhe,CN,1595033666,47.13,129.27,89.35,49,100,2.44
407,Lima,PE,1595033523,-12.04,-77.03,62.6,67,90,10.29
408,Varca,IN,1595033666,15.22,73.92,75.2,100,90,4.7
409,Port Hawkesbury,CA,1595033666,45.62,-61.35,60.8,67,75,3.36
410,Nome,US,1595033376,64.5,-165.41,68.0,59,1,14.99
411,Goygol,AZ,1595033667,40.59,46.32,73.4,69,75,13.87
412,Mata Grande,BR,1595033667,-9.12,-37.73,61.16,100,2,8.52
413,Laas,IT,1595033550,46.62,10.7,50.0,87,40,6.93
414,Klaksvík,FO,1595033452,62.23,-6.59,50.0,93,97,21.92
415,Xam Nua,LA,1595033667,20.42,104.04,75.16,76,100,2.51
416,Hay River,CA,1595033537,60.82,-115.8,66.2,63,75,9.17
417,Lichuan,CN,1595033667,30.3,108.85,72.68,92,100,2.33
418,Guerrero Negro,MX,1595033667,27.98,-114.06,75.87,56,3,16.46
419,Teya,RU,1595033668,60.38,92.63,52.77,65,34,9.24
420,Bara,NG,1595033668,10.37,10.73,72.45,92,100,10.11
421,Sterling,US,1595033544,39.01,-77.43,89.6,52,90,5.82
422,Xining,CN,1595033668,36.62,101.77,57.54,66,92,1.01
423,Ürümqi,CN,1595033668,43.8,87.6,82.4,28,0,11.18
424,Hyères,FR,1595033668,43.12,6.12,71.01,88,0,2.24
425,Oranjemund,NA,1595033424,-28.55,16.43,63.63,28,0,4.65
426,Kyshtovka,RU,1595033668,56.55,76.63,64.92,87,0,7.49
427,Touros,BR,1595033254,-5.2,-35.46,75.2,88,40,6.93
428,Ixtapa,MX,1595033527,20.7,-105.2,86.0,70,20,11.41
429,Necochea,AR,1595033669,-38.55,-58.74,53.01,87,100,11.01
430,Lokosovo,RU,1595033669,61.13,74.82,64.63,66,0,8.63
431,Pitsunda,GE,1595033669,43.16,40.34,71.6,88,75,6.71
432,Narsaq,GL,1595033245,60.92,-46.05,51.8,52,78,10.29
433,Vila Franca do Campo,PT,1595033669,37.72,-25.43,69.8,77,75,6.93
434,Westport,US,1595033670,41.14,-73.36,77.0,88,40,3.76
435,Matagami,CA,1595033670,49.75,-77.63,77.0,47,40,6.93
436,Antofagasta,CL,1595033222,-23.65,-70.4,55.4,76,75,6.93
437,Peterhead,GB,1595033670,57.51,-1.8,53.6,66,7,6.93
438,Ordzhonīkīdze,KZ,1595033670,52.44,61.74,71.01,80,0,5.55
439,Jianhu,CN,1595033670,29.98,120.57,82.4,88,85,6.71
440,Bilibino,RU,1595033271,68.05,166.44,61.83,62,84,8.55
441,Alamogordo,US,1595033671,32.9,-105.96,99.0,16,1,6.93
442,Santiago del Estero,AR,1595033671,-27.8,-64.26,66.52,66,0,6.08
443,Lesnoye,RU,1595033671,58.28,35.52,53.87,90,95,4.47
444,Fairbanks,US,1595033286,64.84,-147.72,69.8,49,90,8.05
445,Priargunsk,RU,1595033671,50.37,119.1,72.28,65,97,5.79
446,Kenora,CA,1595033671,49.82,-94.43,68.0,82,90,8.05
447,Nelson Bay,AU,1595033672,-32.72,152.15,60.01,82,90,6.93
448,Bariri,BR,1595033672,-22.07,-48.74,77.0,53,0,2.24
449,Hazorasp,UZ,1595033672,41.32,61.07,71.6,56,0,2.24
450,Launceston,AU,1595033672,-41.45,147.17,48.2,93,90,9.17
451,Batemans Bay,AU,1595033672,-35.72,150.18,59.0,74,0,1.99
452,Peniche,PT,1595033406,39.36,-9.38,66.99,91,0,3.74
453,La Rioja,ES,1595033672,42.25,-2.5,60.8,77,0,9.17
454,Hamilton,US,1595033431,39.18,-84.53,84.2,54,1,3.36
455,Esmeralda,CU,1595033673,21.85,-78.12,82.4,83,92,6.93
456,Safaga,EG,1595033645,26.73,33.94,86.0,37,0,19.46
457,Pucallpa,PE,1595033673,-8.38,-74.55,75.88,78,0,1.34
458,Mehamn,NO,1595033543,71.04,27.85,58.71,76,100,10.78
459,Rāzole,IN,1595033673,16.48,81.83,80.02,86,100,4.25
460,Elk City,US,1595033673,35.41,-99.4,96.8,30,1,17.22
461,Chase,CA,1595033674,50.82,-119.69,77.0,50,37,3.2
462,Cuamba,MZ,1595033674,-14.8,36.54,56.62,84,19,5.97
463,Stari Bohorodchany,UA,1595033674,48.83,24.52,55.44,91,93,2.39
464,Cerqueira César,BR,1595033674,-23.04,-49.17,62.65,81,0,5.75
465,Oktyabr'skoye,RU,1595033546,43.06,44.74,62.6,93,16,4.47
466,Ilo,PE,1595033442,-17.64,-71.34,59.13,78,82,2.01
467,Shagonar,RU,1595033674,51.53,92.8,65.3,65,7,1.57
468,Palmer,US,1595033280,42.16,-72.33,75.2,83,20,3.33
469,Goulburn,AU,1595033675,-34.75,149.72,48.0,88,0,4.23
470,Bukavu,CD,1595033675,-2.51,28.86,57.63,66,95,1.36
471,Bone,DE,1595033675,51.97,12.14,62.01,83,40,4.45
472,Benghazi,LY,1595033483,32.12,20.07,75.79,78,0,10.74
473,Warrnambool,AU,1595033675,-38.38,142.48,48.99,80,100,11.01
474,Tinos,GR,1595033675,37.54,25.16,75.99,53,0,14.99
475,Hofn,IS,1595033448,64.25,-15.21,51.82,69,100,14.38
476,Misratah,LY,1595033545,32.38,15.09,76.39,71,0,4.81
477,Monrovia,LR,1595033676,6.3,-10.8,77.0,94,75,9.69
478,Whitehorse,CA,1595033676,60.72,-135.05,68.0,37,75,14.99
479,Baijiantan,CN,1595033676,45.63,85.18,92.19,15,0,2.75
480,Varnavino,RU,1595033676,57.4,45.09,53.65,98,18,4.32
481,Coahuayana Viejo,MX,1595033525,18.73,-103.68,84.2,70,40,11.41
482,Bereda,ES,1595033291,43.27,-7.54,63.0,83,72,5.99
483,Mama,RU,1595033677,58.31,112.9,60.96,65,78,5.06
484,Potchefstroom,ZA,1595033499,-26.72,27.1,41.67,46,0,1.83
485,Tabas,IR,1595033677,33.6,56.92,87.8,23,0,4.7
486,Pitanga,BR,1595033677,-24.76,-51.76,57.69,90,0,1.86
487,Khromtau,KZ,1595033677,50.25,58.43,70.75,49,0,7.7
488,Yenagoa,NG,1595033522,4.92,6.26,74.57,93,99,2.39
489,Tazovsky,RU,1595033496,67.47,78.7,49.03,73,63,3.91
490,Ciudad Bolivar,VE,1595033678,8.12,-63.55,81.28,73,100,10.94
491,Sandnessjøen,NO,1595033678,66.02,12.63,53.6,93,22,9.17
492,Labuhan,ID,1595033440,-6.88,112.21,79.86,75,92,13.13
493,Lisala,CD,1595033678,2.15,21.52,67.96,98,94,2.08
494,Balkanabat,TM,1595033678,39.51,54.37,80.69,44,0,3.98
495,Nioro,GM,1595033485,13.35,-15.75,75.63,90,100,7.7
496,Imeni Karla Libknekhta,RU,1595033678,51.62,35.48,56.25,84,0,0.69
497,Parkersburg,US,1595033653,39.27,-81.56,84.2,54,1,3.36
498,Cockburn Town,TC,1595033288,21.46,-71.14,83.23,77,0,16.73
499,Manggar,ID,1595033679,-2.88,108.27,82.8,79,36,12.37
500,Geraldton,AU,1595033229,-28.77,114.6,50.0,81,40,10.29
501,Yoichi,JP,1595033679,43.2,140.77,73.0,68,20,17.22
502,Broome,US,1595033507,42.25,-75.83,75.2,60,1,6.93
503,Porto Franco,BR,1595033524,-6.34,-47.4,75.96,46,92,3.02
504,Pangai,TO,1595033679,-19.8,-174.35,80.6,83,75,13.87
505,Bānāvar,IN,1595033679,13.41,76.17,70.12,87,98,8.84
506,Sobolevo,RU,1595033680,54.43,31.9,52.7,91,42,4.16
507,Aklavik,CA,1595033448,68.22,-135.01,68.0,42,75,4.7
508,Moanda,GA,1595033680,-1.56,13.22,69.24,90,25,2.8
509,Caluquembe,AO,1595033680,-13.78,14.68,46.42,55,0,7.67
510,Abhā,SA,1595033680,18.22,42.51,69.8,45,95,11.7
511,Verkhnetulomskiy,RU,1595033681,68.61,31.8,55.4,87,100,4.47
512,Rexburg,US,1595033478,43.83,-111.79,91.4,21,1,18.34
513,Bintulu,MY,1595033308,3.17,113.03,78.8,94,20,2.24
514,Adrar,MR,1595033681,20.5,-10.07,93.88,24,16,5.59
515,Witney,GB,1595033681,51.78,-1.49,62.6,82,75,4.7
516,Boshnyakovo,RU,1595033682,49.63,142.17,61.11,96,98,4.56
517,Sydney,AU,1595033427,-33.87,151.21,59.0,67,75,9.17
518,Wajima,JP,1595033435,37.4,136.9,69.8,100,75,2.24
519,Zharkent,KZ,1595033682,44.16,80.0,80.62,29,100,2.66
520,Alugan,PH,1595033682,12.22,125.48,83.71,76,100,8.37
521,Kulhudhuffushi,MV,1595033488,6.62,73.07,83.14,75,100,17.22
522,Emerald,AU,1595033682,-23.53,148.17,63.0,36,0,8.05
523,Mandalgovi,MN,1595033683,45.76,106.27,60.44,46,7,11.25
524,Yerbogachën,RU,1595033242,61.28,108.01,50.45,91,100,10.09
525,Iskateley,RU,1595033683,67.68,53.15,53.96,89,100,8.14
526,Mlimba,TZ,1595033683,-8.8,35.82,60.1,62,28,2.8
527,Poum,NC,1595033316,-20.23,164.02,70.81,57,0,7.43
528,Uglegorsk,RU,1595033683,49.08,142.03,61.57,95,100,2.48
529,Murgab,TM,1595033683,37.5,61.97,80.6,34,0,11.41
530,Trelew,AR,1595033684,-43.25,-65.31,50.77,62,0,16.44
531,Flinders,AU,1595033684,-34.58,150.86,62.01,63,0,7.0
532,Provincia di Ancona,IT,1595033684,43.55,13.17,71.01,88,0,6.93
533,Caravelas,BR,1595033501,-17.71,-39.25,68.7,68,0,5.59
534,Dédougou,BF,1595033684,12.47,-3.47,77.18,80,37,6.8
535,Choszczno,PL,1595033684,53.17,15.42,57.99,100,0,4.7
536,Lagoa,PT,1595033249,39.05,-27.98,69.78,82,21,13.29
537,Bathsheba,BB,1595033250,13.22,-59.52,82.4,74,40,12.75
538,Valdepeñas,ES,1595033685,38.76,-3.38,80.01,52,0,3.0
539,Grootfontein,NA,1595033382,-19.57,18.12,41.14,64,0,8.72
540,Dongli,CN,1595033685,23.57,116.82,87.8,74,20,2.24
541,Okato,NZ,1595033685,-39.2,173.88,54.0,79,100,10.0
542,Kotido,UG,1595033685,2.98,34.13,65.93,87,100,3.47
543,Vallenar,CL,1595033685,-28.57,-70.76,56.5,66,0,0.98
544,Viedma,AR,1595033536,-40.81,-63.0,53.01,81,52,1.99
545,Olafsvik,IS,1595033328,64.89,-23.71,45.84,78,66,29.75
546,Inírida,CO,1595033686,3.87,-67.92,73.96,92,67,1.54
547,Mackenzie,CA,1595033686,55.3,-123.17,68.0,49,40,4.7
548,Ancud,CL,1595033248,-41.87,-73.82,50.0,93,75,12.75
549,Poso,ID,1595033686,-1.4,120.75,83.73,63,0,3.11
550,Vestmannaeyjar,IS,1595033427,63.44,-20.27,48.45,74,64,32.5
551,Leshukonskoye,RU,1595033687,64.9,45.76,51.26,96,5,4.56
552,Mafeteng,LS,1595033687,-29.82,27.24,34.03,80,0,0.81
553,Farragut,US,1595033687,35.88,-84.15,93.2,43,75,11.41
554,Horasan,TR,1595033687,40.05,42.17,56.34,77,0,1.1
555,Mogadishu,SO,1595033687,2.04,45.34,76.89,78,95,22.7
556,Miandrivazo,MG,1595033687,-19.52,45.47,63.48,47,0,8.19
557,Skibbereen,IE,1595033526,51.55,-9.27,57.2,100,90,13.87
558,Aykhal,RU,1595033527,66.0,111.5,59.0,67,75,2.24
559,Santa Lucía,ES,1595033688,27.91,-15.54,75.0,83,20,20.8
560,Salinas,US,1595033688,36.68,-121.66,70.0,72,90,12.75
561,Deputatsky,RU,1595033533,69.3,139.9,52.9,48,98,15.3
562,New Milford,US,1595033523,40.93,-74.02,84.0,69,1,6.93
563,Wajid,SO,1595033688,3.81,43.25,71.22,72,72,23.94
564,Kharp,RU,1595033688,66.8,65.81,53.51,89,100,9.46
565,Três Lagoas,BR,1595033689,-20.75,-51.68,71.71,44,0,4.23
566,Tabuk,PH,1595033528,17.42,121.44,83.01,72,95,4.0
567,Victoria Point,AU,1595033689,-27.58,153.3,66.99,61,0,1.99
568,Gazli,UZ,1595033689,40.13,63.45,80.96,18,0,7.31
569,Esim,GH,1595033514,4.87,-2.24,74.19,91,42,7.0
570,Rodolfo Sánchez Taboada,MX,1595033587,31.72,-116.57,79.0,41,3,4.0
571,Ladário,BR,1595033690,-19.0,-57.6,73.11,39,0,1.16
572,Codrington,AU,1595033478,-38.27,141.97,51.93,66,100,18.12
573,Port Blair,IN,1595033690,11.67,92.75,81.55,80,4,7.49
574,Ondangwa,NA,1595033690,-17.92,15.95,50.88,46,0,11.61
575,Bandarbeyla,SO,1595033447,9.49,50.81,81.7,48,100,31.12
576,Vostok,RU,1595033385,46.49,135.88,80.65,54,0,3.53
577,Vágur,FO,1595033690,61.47,-6.81,51.66,80,100,29.51
578,Padang,ID,1595033298,-0.95,100.35,80.02,74,7,3.65
579,Boa Vista,BR,1595033691,2.82,-60.67,75.2,94,75,5.82
580,Bāfq,IR,1595033691,31.61,55.41,78.08,26,3,6.26
581,Negara,ID,1595033691,-8.32,114.6,78.17,76,81,6.6
582,Pointe Michel,DM,1595033691,15.25,-61.38,80.08,76,4,10.71
583,La Ronge,CA,1595033487,55.1,-105.28,60.8,93,75,10.29
584,Pierre,US,1595033691,44.37,-100.35,104.0,27,1,11.41
585,Portland,US,1595033345,45.52,-122.68,73.4,43,75,13.87
